NACE_R2,CZ
A01,8010
A02,1292
A03,67
B,6696
C10-12,9321
C13-15,2732
C16,2317
C17,2234
C18,1234
C19,1483
C20,5178
C21,1198
C22,4544
C23,6852
C24,6181
C25,7538
C26,4951
C27,3744
C28,7322
C29,13035
C30,1147
C31_32,2209
C33,1837
D,26143
E36,9630
E37-39,3607
F,11021
G45,2801
G46,11154
H49,19365
H50,111
H51,1077
H52,38108
H53,827
I,7278
J58,687
J59_60,793
J61,10951
J62_63,1350
K64,5718
K65,945
K66,322
L,25584
M69_70,2256
M71,5231
M72,2507
M73,725
M74_75,1509
N77,2436
N78,99
N79,374
N80-82,2060
O,103003
P,40072
Q86,9877
Q87_88,6504
R90-92,5694
R93,3240
S94,2653
S95,174
S96,787
