NACE_R2,EL
A01,14842
A02,487
A03,1918
B,2696
C10-12,5282
C13-15,2006
C16,498
C17,576
C18,485
C19,2410
C20,1018
C21,602
C22,1173
C23,1468
C24,2225
C25,1889
C26,277
C27,598
C28,585
C29,106
C30,260
C31_32,680
C33,209
D,15712
E36,3522
E37-39,2172
F,7178
G45,1988
G46,9354
G47,9365
H49,20816
H50,32529
H51,1046
H52,1425
H53,789
I,13289
J58,1409
J59_60,2205
J61,15842
J62_63,596
K64,2245
K65,256
K66,195
L,1599
M69_70,1475
M71,552
M72,851
M73,385
M74_75,297
N77,5027
N78,106
N79,633
N80-82,1470
O,96884
P,10490
Q86,4768
Q87_88,730
R90-92,3646
R93,1364
S94,4498
S95,314
S96,2392
